Date,Name,Year,Letterboxd URI,Rating
2022-04-15,Fantastic Beasts: The Secrets of Dumbledore,2022,https://boxd.it/bg8Q,1.5
2022-04-27,Top Gun,1986,https://boxd.it/29JC,2
2022-04-27,Star Wars: Episode I – The Phantom Menace,1999,https://boxd.it/27Vc,2.5
2022-04-28,Star Wars: Episode II – Attack of the Clones,2002,https://boxd.it/27V2,2.5
2022-04-29,Star Wars: Episode III – Revenge of the Sith,2005,https://boxd.it/27US,3
2022-05-07,Doctor Strange in the Multiverse of Madness,2022,https://boxd.it/gaTc,4
2022-05-11,Synchronic,2019,https://boxd.it/k3M2,3
2022-05-19,Rogue One: A Star Wars Story,2016,https://boxd.it/aPvy,3.5
2022-06-06,Top Gun: Maverick,2022,https://boxd.it/cjr4,4
2022-06-10,Jurassic World Dominion,2022,https://boxd.it/ikXW,2.5
2022-07-08,Thor: Love and Thunder,2022,https://boxd.it/mMAY,3.5
2022-07-08,Lightyear,2022,https://boxd.it/qV1G,3
2022-07-16,Get Out,2017,https://boxd.it/eOCm,4.5
2022-07-17,The Sea Beast,2022,https://boxd.it/kv3a,3.5
2022-07-19,The Black Phone,2021,https://boxd.it/sqFE,3.5
